,GDP,CPI,CPIXFE,S,RS,GDP_RW,CPI_RW,RS_RW,REM_GDP,MB
2018Q4,123945.1026,137.13,257.69,7.71832472,2.75,20304.9,126.8772966,2.4,4.42197573,65008.9667
2019Q1,127146.3,139.11,259,7.719152093,2.75,20415.2,125.9339488,2.43,4.358795342,65607.8333
2019Q2,129402.6264,141.48,260.62,7.672309441,2.75,20584.5,126.0155774,2.4,4.542693254,67174.9333
2019Q3,129336.6819,139.36,261.71,7.684220993,2.75,20817.6,125.3708779,1.9,4.686410804,69237.4667
2019Q4,129319.433,141.8,262.98,7.718640416,2.75,20951.1,125.3840626,1.55,4.528130811,73930.1667
2020Q1,128148.6259,141.57,264.29,7.676878213,2.75,20665.6,123.8209081,0.08,4.545260722,74066.9667
2020Q2,118120.5759,144.86,265.49,7.701137699,2,19034.8,118.5311609,0.08,4.393510903,79003.2
2020Q3,127602.4559,146.28,266.94,7.719452089,1.75,20511.8,122.6663987,0.09,5.237099129,83942.4
2020Q4,132108.9834,148.64,268.55,7.790484272,1.75,20724.1,124.6158288,0.09,5.235251061,91381.5667
2021Q1,133997.3133,149.84,271.07,7.751919628,1.75,20990.5,129.1899977,0.07,5.545708389,91531.4667
2021Q2,136168.5954,150.52,272.61,7.723338122,1.75,21309.5,133.9281931,0.08,5.797761608,92647.7667
2021Q3,137863.453,151.65,274.96,7.738445738,1.75,21483.1,137.2982108,0.08,6.070159263,94318.1333
2021Q4,138513.9704,153.2,278.93,7.729419885,1.75,21847.6,141.1640011,0.08,6.242693085,102752.3
2022Q1,140474.0912,156.09,284.83,7.698486605,1.75,21738.9,146.4643269,0.2,6.239829526,102412.733
2022Q2,142223.4286,161.89,292.3,7.689298831,2.25,21708.2,152.5887167,1.21,6.513306422,105753.8
2022Q3,142993.0889,165.35,299.28,7.757065774,3,21851.1,149.3578503,2.56,6.284958885,107414.967
2022Q4,143398.3011,167.35,304.76233,7.849077699,3.75,21990,147.4569209,4.1,6.284979134,114540.567
2023Q1,145960.4921,169.69,309.40573,7.828531732,4.5,22112.3,144.3092853,4.65,6.391909943,115622.1
2023Q2,147720.8815,169.87,312.62363,7.815631993,5,22225.4,142.0011499,5.08,6.486869949,119321.433
2023Q3,148223.079,173.1,316.84644,7.859000939,5,22491.6,143.0638395,5.12,6.504810105,119767.633
